IP Address,MAC Address,Device Name,Subnet,Device Type,VLAN,Location,Active,Last Seen,Serial Number,Manufacturer,Model,Firmware Version,Managed By,Assignment Type,Timestamp,Criticality,Network Purpose,DNS Records,IP Assignment Date,Change Reference
10.2.125.58,47:34:2C:D8:10:0F,NYC-DC1-S95,10.2.125.0/24,Switch,1140,NYC-DC1-R1-C6,Active,2024-12-16T10:43:18Z,FCW2044B0G7,Cisco,"Cisco Systems, Inc. WS-C2960XR-48FPD-I",IOS XE 17.3.7,Network Operations Team,DHCP,2024-12-16T10:43:18Z,High,Core Infrastructure,nyc-dc1-s95.corp.local,2023-07-25T05:14:13Z,CHG54118
10.6.135.207,16:EB:3F:C1:28:96,SYD-DC1-S46,10.6.135.0/24,Switch,1858,SYD-DC1-R6-C6,Active,2024-08-17T13:16:09Z,FDO2130B17K,Cisco,Cisco WS-C2960XR-24PS-I,IOS XE 16.1.6,Network Operations Team,Static,2024-08-17T13:16:09Z,Low,Core Infrastructure,syd-dc1-s46.enterprise.net,2024-01-30T03:48:24Z,CHG99593
10.7.83.119,C2:8A:70:A6:1C:75,SIN-DC1-S69,10.7.83.0/24,Switch,3624,SIN-DC1-R8-C5,Active,2024-10-02T05:55:26Z,PSZ26361E5G,Cisco,"Cisco Systems, Inc. C1000-8FP-2G-L",IOS XE 17.3.7,Security Infrastructure Team,Static,2024-10-02T05:55:26Z,Medium,DMZ,sin-dc1-s69.enterprise.net,2024-02-16T17:02:27Z,CHG86622
10.6.252.24,18:38:4E:51:D8:20,SYD-DC1-S29,10.6.252.0/24,Switch,2626,SYD-DC1-R6-C4,Active,2025-02-24T02:13:36Z,FOC26353SFE,Cisco,"Cisco Systems, Inc. C9200L-48P-4G-A",IOS XE 16.8.4,Global Network Services,Static,2025-02-24T02:13:36Z,Low,Voice Network,syd-dc1-s29.global.org,2023-05-03T20:36:57Z,CHG44522
10.4.101.40,BF:52:00:A5:FA:09,SFO-DC1-S81,10.4.101.0/24,Switch,2182,SFO-DC1-R3-C5,Active,2025-02-20T23:41:36Z,JAE26271R41,Cisco,CISCO-FINISAR C9200L-24P-4G,IOS XE 16.7.1,Enterprise Network Team,Static,2025-02-20T23:41:36Z,Medium,User Access,sfo-dc1-s81.enterprise.net,2023-11-23T12:38:37Z,CHG89507
10.7.204.172,BF:E0:E7:3D:7E:73,SIN-DC1-S92,10.7.204.0/24,L2 Switch,3709,SIN-DC1-R1-C11,Active,2024-05-27T18:35:02Z,JAE26271QDZ,Cisco Systems,CISCO-FINISAR C9200L-24P-4G,IOS XE 16.0.3,Enterprise Network Team,Static,2024-05-27T18:35:02Z,High,DMZ,sin-dc1-s92.enterprise.net,2024-01-17T09:41:32Z,CHG73624
10.4.208.49,30:31:DC:B5:D8:D2,SFO-DC2-S32,10.4.208.0/24,Switch,2197,SFO-DC2-R8-C5,Active,2024-07-14T11:14:34Z,JAE26271QHC,Cisco Systems,CISCO-FINISAR C9200L-24P-4G,IOS XE 16.3.3,Security Infrastructure Team,DHCP,2024-07-14T11:14:34Z,Medium,Voice Network,sfo-dc2-s32.global.org,2023-08-07T14:43:56Z,CHG19880
10.7.47.238,79:55:D0:F8:F6:6D,SIN-DC1-S07,10.7.47.0/24,Switch,778,SIN-DC1-R5-C7,Active,2024-06-30T17:10:42Z,FCW2411A19W,Cisco Systems,"Cisco Systems, Inc. C1000-24FP-4G-L",IOS XE 17.8.7,Enterprise Network Team,Reserved,2024-06-30T17:10:42Z,High,Core Infrastructure,sin-dc1-s07.company.com,2024-02-17T02:00:18Z,CHG51104
10.7.29.246,29:5F:23:22:78:CE,SIN-DC1-S65,10.7.29.0/24,Switch,2934,SIN-DC1-R6-C8,Active,2025-01-16T16:39:57Z,FCW2009A72N,Cisco,"Cisco Systems, Inc. WS-C2960X-24PS-L",IOS XE 17.4.3,Global Network Services,Static,2025-01-16T16:39:57Z,High,Core Infrastructure,sin-dc1-s65.enterprise.net,2023-10-27T04:00:33Z,CHG51441
10.6.135.34,B2:23:7D:BD:91:50,SYD-DC1-S10,10.6.135.0/24,Switch,3645,SYD-DC1-R2-C18,Active,2024-06-15T10:14:26Z,PSZ25311A64,Cisco,"Cisco Systems, Inc. C1000-8FP-2G-L",IOS XE 16.2.4,Network Operations Team,DHCP,2024-06-15T10:14:26Z,High,Management Network,syd-dc1-s10.corp.local,2024-02-05T06:59:52Z,CHG54942
10.5.47.163,D8:8D:16:01:AA:42,LON-DC1-S33,10.5.47.0/24,Switch,3419,LON-DC1-R6-C19,Active,2024-05-15T14:10:26Z,FOF88F88FF,Cisco,Nexus 9336C-FX2,IOS XE 16.2.8,Global Network Services,Static,2024-05-15T14:10:26Z,High,IoT Connectivity,lon-dc1-s33.company.com,2023-08-30T07:32:36Z,CHG57795
10.3.181.200,D0:4F:79:53:5A:D3,SFO-DC1-S86,10.3.181.0/24,Switch,1928,SFO-DC1-R4-C7,Active,2025-03-31T01:02:11Z,FOF66F66FF,Cisco,Catalyst 9300-48P,IOS XE 16.6.0,Network Operations Team,DHCP,2025-03-31T01:02:11Z,Low,User Access,sfo-dc1-s86.corp.local,2023-07-28T04:09:56Z,CHG13101
10.6.142.90,CC:A9:0E:3B:85:5B,SYD-DC1-S36,10.6.142.0/24,Switch,1044,SYD-DC1-R1-C14,Active,2024-07-14T10:01:48Z,FOB66B66BB,Cisco,Nexus 9336C-FX2,IOS XE 16.6.9,Enterprise Network Team,Reserved,2024-07-14T10:01:48Z,High,Management Network,syd-dc1-s36.corp.local,2023-09-21T01:09:27Z,CHG66531
10.5.153.130,9E:D1:A7:CE:97:41,LON-DC1-S85,10.5.153.0/24,Switch,1761,LON-DC1-R10-C20,Active,2024-07-22T05:24:43Z,FON22N22NN,Cisco,Catalyst 9200-24P,IOS XE 16.4.4,Global Network Services,DHCP,2024-07-22T05:24:43Z,Low,Server Farm,lon-dc1-s85.global.org,2024-01-19T23:40:11Z,CHG38010
